size	colour	x	y	key	showSelectedlegendcolour	clickSelects	fill
2.35324308848019	#00C094	6.009	66.1853902439024	United Arab Emirates	Middle East & North Africa	United Arab Emirates	#00C094
3.7383848947879	#A58AFF	7.692	37.2571219512195	Afghanistan	South Asia	Afghanistan	#A58AFF
2.76242689678664	#C49A00	4.417	68.3258292682927	Albania	Europe & Central Asia	Albania	#C49A00
2.82309661075393	#C49A00	2.745	70.527512195122	Armenia	Europe & Central Asia	Armenia	#C49A00
3.26347475209652	#FB61D7	7.185	38.979243902439	Angola	Sub-Saharan Africa	Angola	#FB61D7
4.50612537966073	#53B400	3.321	68.0030731707317	Argentina	Latin America & Caribbean	Argentina	#53B400
3.35028276992299	#C49A00	1.82	71.0841463414634	Austria	Europe & Central Asia	Austria	#C49A00
3.82901115667765	#F8766D	2.148	72.6253658536586	Australia	East Asia & Pacific	Australia	#F8766D
2.10480325192598	#53B400	2.506	70.7778048780488	Aruba	Latin America & Caribbean	Aruba	#53B400
3.16998161211017	#C49A00	3.95	65.1874390243903	Azerbaijan	Europe & Central Asia	Azerbaijan	#C49A00
2.97046654534403	#C49A00	2.412	68.6315853658537	Bosnia and Herzegovina	Europe & Central Asia	Bosnia and Herzegovina	#C49A00
2.23575421845299	#53B400	2.393	70.3433170731707	Barbados	Latin America & Caribbean	Barbados	#53B400
6.1732411761376	#A58AFF	6.831	43.3347804878049	Bangladesh	South Asia	Bangladesh	#A58AFF
3.53584815168794	#C49A00	1.736	71.9712195121951	Belgium	Europe & Central Asia	Belgium	#C49A00
3.21652029148238	#FB61D7	6.868	43.6348048780488	Burkina Faso	Sub-Saharan Africa	Burkina Faso	#FB61D7
3.44862168448475	#C49A00	2.23	71.049756097561	Bulgaria	Europe & Central Asia	Bulgaria	#C49A00
2.24626746208997	#00C094	5.556	67.4118780487805	Bahrain	Middle East & North Africa	Bahrain	#00C094
2.93952353661452	#FB61D7	6.823	44.822	Burundi	Sub-Saharan Africa	Burundi	#FB61D7
2.88481733888948	#FB61D7	6.929	43.0276097560976	Benin	Sub-Saharan Africa	Benin	#FB61D7
2.1874075409801	#F8766D	5.365	69.0215853658537	Brunei Darussalam	East Asia & Pacific	Brunei Darussalam	#F8766D
3.07039046834843	#53B400	6.183	48.2261707317073	Bolivia	Latin America & Caribbean	Bolivia	#53B400
7.10713224087105	#53B400	4.499	60.488512195122	Brazil	Latin America & Caribbean	Brazil	#53B400
2.20467766114085	#53B400	3.234	66.7560487804878	Bahamas, The	Latin America & Caribbean	Bahamas, The	#53B400
2.28382567576056	#A58AFF	6.692	43.2459756097561	Bhutan	South Asia	Bhutan	#A58AFF
2.44124918616821	#FB61D7	6.477	57.5469756097561	Botswana	Sub-Saharan Africa	Botswana	#FB61D7
3.50142792197422	#C49A00	2.17	70.8328780487805	Belarus	Europe & Central Asia	Belarus	#C49A00
2.16877635311776	#53B400	6.278	68.2665609756098	Belize	Latin America & Caribbean	Belize	#53B400
4.36451078241937	#00B6EB	1.824	73.5217073170732	Canada	North America	Canada	#00B6EB
4.34882415854158	#FB61D7	6.366	45.1399756097561	Congo, Dem. Rep.	Sub-Saharan Africa	Congo, Dem. Rep.	#FB61D7
2.69473278617525	#FB61D7	5.95	45.832756097561	Central African Republic	Sub-Saharan Africa	Central African Republic	#FB61D7
2.609042178214	#FB61D7	6.325	54.9791707317073	Congo, Rep.	Sub-Saharan Africa	Congo, Rep.	#FB61D7
3.23462351287177	#C49A00	1.598	74.6656097560976	Switzerland	Europe & Central Asia	Switzerland	#C49A00
3.26049185200004	#FB61D7	7.917	47.9595609756098	Cote d'Ivoire	Sub-Saharan Africa	Cote d'Ivoire	#FB61D7
3.58419151495607	#53B400	3.163	65.4621463414634	Chile	Latin America & Caribbean	Chile	#53B400
3.36460374046265	#FB61D7	6.366	48.7498780487805	Cameroon	Sub-Saharan Africa	Cameroon	#FB61D7
16.8625074592191	#F8766D	3.783	65.6915609756098	China	East Asia & Pacific	China	#F8766D
4.40430411061292	#53B400	4.631	62.7040243902439	Colombia	Latin America & Caribbean	Colombia	#53B400
2.70072632635744	#53B400	3.968	69.5594146341464	Costa Rica	Latin America & Caribbean	Costa Rica	#53B400
3.50714585811257	#53B400	2.844	71.9519268292683	Cuba	Latin America & Caribbean	Cuba	#53B400
2.26771289412417	#FB61D7	6.771	56.578243902439	Cape Verde	Sub-Saharan Africa	Cape Verde	#FB61D7
